train_nbr,ariv_delay,dept_delay,mileage,fare_plan_cds,states_cd,orig_stns,dest_stns
216400,5,6,198,31,7,319,369
9310,9,0,58,35,41,320,460
65320,-9,1,104,89,41,344,183
17300,2,0,24,73,37,320,279
215800,3,0,75,60,9,320,312
5900,-16,19,219,89,28,60,278
7910,3,0,226,66,52,320,480
1400,86,126,721,35,40,128,348
4330,23,1,334,89,41,338,349
16410,8,6,231,12,22,320,43
178400,1,0,15,216,7,334,433
16200,13,7,232,181,34,320,43
67120,-4,0,67,89,23,344,250
4210,10,1,91,79,41,344,326
38000,-19,1,162,89,47,158,62
1900,16,0,859,35,37,320,21
1900,-36,0,354,35,3,35,316
64320,11,5,67,89,12,344,250
1900,33,3,48,89,23,24,12
8410,3,0,227,242,49,478,326
78400,0,0,26,216,7,239,155
215300,-5,1,220,78,22,386,326
216900,7,2,91,60,11,320,350
6610,3,10,40,142,23,478,24
57200,1,0,126,216,7,239,331
38000,118,128,162,89,15,158,62
71600,44,2,234,249,7,414,33
8610,-3,0,197,79,23,54,326
4900,23,3,619,112,38,320,70
6720,2,0,382,89,34,276,318
17120,8,9,338,89,37,320,91
66620,0,0,67,89,7,249,350
16100,-3,0,156,89,47,43,312
71700,6,10,199,223,7,149,128
31810,30,64,257,89,27,9,62
215400,-2,4,116,1,41,488,326
34200,-3,0,86,220,52,283,62
14110,18,2,166,105,9,308,350
17420,-2,7,343,114,49,390,326
50700,6,0,187,89,40,408,348
77400,10,16,14,216,6,15,212
17300,-4,0,226,181,37,320,480
225600,17,10,188,80,43,320,369
64010,8,1,91,142,41,344,326
17200,14,9,172,91,37,24,135
28320,-12,0,285,0,37,320,449
1100,22,17,220,90,7,419,239
800,11,0,103,89,51,134,262
17200,2,8,105,111,22,310,28
15000,3,7,69,173,37,226,28
216000,-4,0,231,4,37,320,28
71400,0,0,204,223,7,324,149
216600,3,,232,4,37,320,43
23300,-3,0,73,121,37,320,361
53200,-4,0,90,217,7,324,397
18400,3,8,0,181,22,320,43
82200,29,0,186,89,47,154,317
69300,9,0,116,235,49,42,359
30100,59,0,124,89,17,62,41
17500,29,13,160,181,43,226,326
1400,-18,0,1377,69,8,239,412
1100,14,59,514,35,7,133,397
71900,2,0,93,221,7,149,288
217300,-1,0,185,107,37,320,24
31400,2,0,158,89,30,222,215
29120,31,0,244,89,0,320,392
215400,-2,1,260,178,23,24,312
28110,-1,0,89,89,37,320,377
9510,3,0,195,181,37,320,54
6710,-9,3,226,105,49,320,480
215400,6,7,75,192,9,320,312
17620,5,4,247,242,49,91,350
215500,11,6,211,141,22,364,279
2700,18,0,252,35,47,402,246
28020,-14,17,237,89,37,467,326
58600,-5,0,91,216,29,212,399
17000,3,4,185,79,23,24,326
5310,,,855,82,41,252,414
28010,-7,7,89,35,37,373,326
225300,-4,4,413,107,40,364,480
53600,,,90,217,7,324,397
36500,17,9,256,35,17,144,62
64520,0,0,118,89,41,320,137
33800,10,0,86,220,17,283,62
13400,17,23,91,242,37,344,326
4900,57,92,84,35,25,428,62
18500,-5,0,225,114,37,320,480
4330,13,2,353,89,41,344,349
59300,7,1,126,216,7,325,239
9000,2,2,100,242,41,302,490
35300,-22,2,296,89,25,461,62
71500,6,4,172,223,7,149,298
18400,6,0,0,246,9,320,444
44800,-3,45,505,12,18,428,385
29100,34,0,0,89,50,320,51
30700,6,22,148,35,17,216,437
37000,7,0,176,242,25,62,175
212800,-2,6,175,227,7,24,324
28020,-7,0,436,35,37,34,326
39000,-4,15,130,242,17,63,62
1100,-4,10,123,35,7,342,133
7500,23,27,76,112,30,206,73
1400,-26,1,187,182,3,342,412
30500,-3,0,124,35,17,62,41
35400,-7,0,281,35,25,62,102
1100,-27,0,202,36,7,419,473
39200,2,7,201,89,17,122,62
215100,-6,2,188,178,37,364,326
13700,15,1,170,79,12,226,324
51600,0,0,94,242,51,408,30
8610,39,8,339,66,51,344,43
78500,7,6,26,216,7,155,239
50010,8,0,148,66,40,342,450
217300,0,3,241,192,37,28,324
14010,-1,1,190,105,11,488,312
5530,5,19,432,12,33,44,480
17900,14,4,156,242,9,28,312
216400,0,3,185,81,23,24,326
13200,1,0,30,173,13,478,54
19000,-1,0,232,77,37,320,43
215500,1,2,194,141,9,28,444
5610,0,0,225,121,49,478,326
5800,60,60,71,89,17,122,63
5610,6,0,225,66,49,478,326
64010,30,5,91,181,41,344,326
78400,2,0,93,216,40,422,399
12520,28,0,108,89,49,478,395
215900,22,26,231,192,33,28,326
23300,2,0,88,89,12,320,377
6420,0,1,61,89,37,52,385
28120,1,0,431,35,37,320,52
215300,1,1,134,81,7,344,480
52800,19,0,119,217,7,412,97
600,12,0,385,89,8,417,177
17800,-9,2,185,35,37,24,326
9910,11,3,321,26,41,28,350
6620,-9,8,164,89,40,479,480
100,120,0,1996,35,6,312,239
15800,5,0,134,35,12,478,350
216300,-5,1,231,162,22,28,326
2800,161,5,1192,89,31,469,511
77400,1,0,46,216,7,239,212
9510,25,0,232,66,34,43,326
78400,1,5,78,216,7,155,433
14810,-2,0,134,172,23,478,350
17610,17,0,261,242,9,478,444
19510,22,0,225,242,41,320,480
217300,-6,0,232,81,22,43,326
39200,42,46,130,35,17,63,62
69700,2,0,51,238,30,42,136
19200,5,0,215,105,23,478,324
9000,4,0,110,105,11,478,490
6410,-2,0,109,89,37,6,85
300,0,24,2010,35,38,146,155
77400,36,30,103,216,47,400,239
17110,-2,0,156,142,22,43,312
76800,-4,0,104,216,7,239,433
77400,2,0,87,216,7,239,340
19510,45,20,225,79,37,320,480
9100,44,0,784,89,37,320,110
64210,-4,1,91,116,23,344,326
800,100,64,155,89,29,185,163
9100,19,30,192,242,12,456,503
68000,1,0,116,238,24,353,42
17900,4,0,231,181,7,43,326
1900,27,57,343,35,49,292,73
30100,44,5,247,89,27,216,443
16400,10,2,195,113,23,54,326
700,27,0,1691,112,26,404,134
700,-4,0,1620,35,18,62,487
17500,-6,0,92,76,41,320,350
8900,6,4,172,169,30,348,480
217000,-4,0,232,178,12,320,43
7600,14,0,165,89,30,73,94
41700,-1,3,40,86,9,191,312
2200,165,183,124,12,17,41,62
36400,25,10,62,89,25,62,304
4310,1,4,81,69,34,319,350
7920,39,2,370,35,41,344,382
77000,0,4,139,216,7,53,331
13700,2,7,260,230,9,308,24
35300,-26,0,281,89,25,102,62
65520,0,0,195,35,41,320,183
6610,-2,19,193,89,51,302,279
33100,-5,0,86,220,17,62,286
2000,8,0,768,112,13,21,350
9800,-9,23,503,35,44,64,480
19600,-10,0,225,89,10,478,326
35300,6,3,158,89,25,461,220
30600,-15,1,284,242,17,440,62
216700,6,1,188,174,22,364,326
16800,-2,2,185,142,23,24,326
220500,-2,0,225,25,10,320,480
17410,3,0,232,89,22,320,43
215100,15,15,134,139,10,344,480
17410,3,0,232,181,38,320,43
9000,0,26,437,89,44,145,54
33700,0,0,86,220,17,62,286
39300,7,0,115,12,17,62,391
64420,1,0,67,89,41,249,350
38000,10,0,258,89,17,367,62
5800,-12,23,129,89,17,63,62
58800,-1,0,31,216,6,239,15
77000,-2,5,106,216,7,287,428
58000,-1,5,97,218,7,15,399
216600,23,8,220,42,37,320,390
17000,7,0,231,35,22,320,28
16100,30,28,41,173,23,24,480
17410,-8,0,75,74,34,320,312
33800,0,0,86,220,51,283,62
54100,7,3,71,217,7,97,128
17500,-1,0,231,26,38,43,326
4900,8,30,355,89,37,381,456
217000,-7,0,232,60,37,320,43
39000,-1,0,290,89,17,114,62
19000,20,0,232,111,22,320,43
78500,22,0,87,216,7,160,82
38200,-18,2,202,89,17,262,62
7300,8,0,173,94,30,372,73
34100,26,23,86,220,17,62,286
23600,9,0,141,89,37,6,326
64020,0,5,110,35,41,338,326
77400,-7,0,222,165,22,419,239
23600,11,9,73,121,37,355,326
215900,4,0,457,178,22,43,480
216500,-1,4,185,174,37,320,24
215400,6,6,91,4,37,344,326
9700,15,0,225,89,37,320,480
76100,12,1,0,216,7,316,404
23600,-4,6,32,89,37,85,326
8900,-4,0,129,242,41,344,480
44800,5,0,102,89,13,62,123
13000,9,0,225,111,38,478,326
400,50,59,298,152,27,237,62
24400,-12,1,73,242,37,355,326
14710,-2,0,226,26,37,320,480
33700,-1,0,86,220,52,62,286
14900,-7,0,226,89,37,320,480
5100,14,9,1055,35,51,344,62
28320,3,3,160,12,17,320,411
9610,2,0,41,79,10,478,24
15710,-6,0,95,181,23,344,24
50510,39,0,187,89,51,408,348
17110,8,0,230,142,51,28,326
50310,3,0,187,112,51,408,348
17700,11,2,322,242,34,28,350
36500,1,1,256,12,25,144,62
25000,-3,0,141,89,37,6,326
69200,-4,2,68,235,52,112,42
44800,-4,0,436,35,41,62,130
76500,-1,0,59,216,40,212,53
16900,-7,0,231,242,37,43,326
71900,14,0,265,223,7,33,2
17300,-1,9,300,89,9,308,480
14900,-20,2,230,12,37,28,326
36400,4,0,160,35,25,62,50
17800,-3,3,172,105,23,24,135
67210,9,,91,111,37,344,326
35500,-2,3,281,35,25,102,62
36400,-5,4,118,89,25,220,144
69200,6,1,116,235,24,353,42
23600,3,0,141,35,37,6,326
50810,14,0,177,186,51,469,412
5800,33,64,520,35,32,275,62
1100,469,498,216,66,7,369,298
4800,4,2,431,112,37,52,326
5610,-5,2,94,242,22,24,350
18400,3,4,185,35,37,24,326
66410,-5,2,91,89,37,344,326
17500,18,12,152,26,37,364,444
14810,-2,1,124,98,41,302,350
300,105,45,1170,35,15,158,1
9700,54,0,1086,229,37,320,107
14110,-3,0,226,89,17,320,480
71100,-6,0,30,223,7,285,418
216700,-4,1,220,178,22,386,326
1900,-20,0,859,35,37,320,21
1400,112,97,449,123,7,412,225
69400,248,0,144,238,24,46,42
31600,33,1,283,89,17,222,443
23300,15,0,114,242,37,320,207
220300,2,1,215,143,34,319,480
71200,5,2,111,223,7,149,33
2700,81,100,232,89,51,359,348
9200,72,14,309,89,12,106,337
36500,10,16,275,89,25,253,62
9420,1,0,138,173,10,361,480
38300,5,4,174,12,17,315,264
217200,-1,0,225,178,37,478,326
221300,12,0,225,4,37,320,480
66620,-11,0,177,89,43,126,326
50820,15,17,80,165,40,13,348
5800,-28,7,873,89,6,198,62
17110,3,1,81,35,34,319,350
34000,4,0,86,220,52,283,62
77000,4,1,44,216,40,53,15
400,13,2,447,89,7,473,143
7910,3,0,91,121,41,320,350
14110,244,250,226,111,37,320,480
5310,-7,-22,855,0,41,252,414
215300,-4,0,188,81,51,364,326
19510,17,7,235,242,23,318,305
6720,9,21,109,89,49,12,394
14110,13,1,243,89,23,49,24
216300,8,1,231,81,37,28,326
17500,-9,0,160,111,17,226,326
8410,40,38,91,113,51,344,326
38200,21,3,76,12,17,341,319
215200,3,2,226,63,49,478,326
8820,2,17,161,142,41,480,350
215200,-2,1,91,130,37,344,326
225300,-8,0,232,63,12,43,326
216300,92,84,226,162,37,320,480
12520,-1,0,389,242,37,320,481
2200,63,83,31,89,7,154,95
79400,12,9,199,216,7,179,239
77700,13,2,26,216,7,155,239
30200,-6,0,284,89,27,440,62
215100,7,10,225,178,37,320,480
50010,-5,9,137,89,51,224,412
177000,2,6,15,216,7,15,212
24100,-1,0,88,89,37,320,377
28310,29,0,142,242,37,320,6
33400,-3,0,86,220,7,283,62
19000,0,5,90,142,40,441,314
28420,2,5,290,12,37,447,326
76500,4,5,31,223,7,15,239
17300,-4,0,231,173,37,43,326
30600,-1,0,284,89,27,440,62
5310,2,-27,855,128,12,252,414
24300,1,0,114,121,7,320,207
216900,-8,0,225,60,17,320,480
64510,-2,0,91,26,37,320,350
54100,5,2,0,217,7,393,327
6610,-18,1,43,142,22,364,28
78400,30,0,111,216,7,178,239
216400,2,0,109,178,10,478,490
82100,92,0,206,89,47,322,154
215900,-3,0,91,60,10,320,350
4310,1,0,81,121,7,319,350
216300,-3,0,226,80,49,320,480
225900,15,1,166,75,38,308,350
9310,12,4,135,35,41,344,480
76800,25,18,46,216,30,239,212
16100,5,10,135,173,41,344,480
17200,10,0,225,12,6,478,326
17900,0,0,196,89,51,43,444
13000,0,0,225,111,10,478,326
13700,4,2,230,89,37,28,326
64320,10,0,110,242,41,320,344
9800,18,21,412,121,44,278,214
38300,16,0,28,242,15,62,319
7600,14,1,147,89,30,73,109
2000,74,46,203,12,49,73,263
216300,-6,1,220,192,22,386,326
23200,2,1,113,89,37,207,326
29310,8,0,141,35,37,320,6
66410,7,2,91,35,7,344,326
24400,-4,0,141,89,7,6,326
39300,30,15,129,89,17,62,63
158400,-17,2,129,216,34,239,399
1100,-50,0,749,35,51,326,397
30600,-10,5,185,12,17,433,62
68000,2,0,68,235,33,112,42
9800,-5,0,201,89,12,501,337
34000,-1,0,86,220,52,283,62
65110,-4,0,91,89,41,320,350
9800,47,52,728,89,37,64,326
65320,0,0,170,12,37,320,284
1900,-2,0,225,79,34,320,480
9100,136,0,273,89,12,227,503
210300,-1,0,225,178,37,320,480
19300,1,0,225,142,23,320,480
5310,382,293,855,82,22,252,414
18500,4,0,225,103,37,320,480
68300,-3,0,144,238,7,42,46
30700,50,7,112,12,17,421,41
9100,29,53,192,35,34,456,503
9700,-1,0,175,121,34,319,24
17110,11,22,88,37,9,308,135
9100,10,10,109,89,10,478,395
7500,10,15,89,89,30,174,73
66020,5,0,67,89,41,249,350
12510,3,0,226,105,46,320,480
33400,5,0,86,220,52,283,62
5410,2,0,226,242,10,478,326
9410,21,1,91,12,37,344,326
37000,-2,0,176,89,17,62,175
54700,102,46,101,217,7,97,148
69200,2,3,116,238,24,353,42
15820,24,0,447,12,49,305,326
69700,61,57,51,235,33,42,136
1900,-6,0,258,242,22,73,21
39200,33,47,130,35,17,63,62
74600,13,4,70,165,7,128,97
71900,-1,0,178,223,7,475,288
178500,-2,3,0,216,7,325,340
18100,-3,1,67,74,34,276,350
5210,-14,-2,855,82,37,410,254
9410,0,5,231,181,37,320,43
7700,36,26,89,112,13,174,73
18510,0,0,226,142,37,320,480
2000,4,10,264,89,49,73,91
28320,9,0,431,89,37,320,34
1100,-33,16,103,69,7,400,239
30600,14,0,284,121,27,440,62
17420,0,4,418,35,49,390,312
8030,0,23,521,111,41,174,350
156700,17,0,41,216,12,395,340
5100,47,2,282,89,34,458,91
216300,17,7,226,78,37,320,480
56200,13,0,0,216,7,239,331
216900,5,3,81,192,34,319,350
9200,-1,0,400,112,49,69,395
28320,-11,0,285,242,35,320,449
15900,8,0,91,66,37,320,350
18520,37,4,90,105,49,12,20
14810,1,0,92,89,34,488,279
8810,-14,0,105,173,9,310,43
36500,2,1,138,89,17,220,62
6610,-10,47,327,114,41,344,43
58000,34,0,46,216,47,239,212
800,-2,1,399,89,17,291,167
50310,6,0,177,89,51,408,471
14020,0,0,167,242,41,344,446
19510,8,12,135,181,41,344,480
39000,-1,0,310,89,17,60,62
35200,19,20,105,124,25,220,16
77700,44,2,107,216,7,400,180
300,58,77,751,121,35,168,239
29100,-17,0,0,89,50,320,51
17000,2,1,126,76,37,320,314
217200,5,7,188,102,43,320,369
71000,17,4,153,249,7,414,201
215400,3,0,231,174,7,320,43
9510,3,10,36,173,21,441,326
28120,17,17,291,242,37,320,449
9200,103,26,306,89,30,372,480
13610,8,10,94,113,23,24,350
44800,0,1,294,35,38,454,52
18200,4,3,40,173,10,478,24
66320,0,1,185,89,41,319,183
216300,14,7,226,28,37,320,480
13700,167,4,456,242,23,28,480
64210,-5,1,91,89,34,344,326
5510,3,0,225,114,37,320,480
9510,-2,0,225,89,37,320,480
5100,-8,8,434,89,20,436,62
6710,-8,0,226,105,37,320,480
13810,30,38,224,35,37,478,326
78400,-2,8,58,218,7,53,212
18400,11,0,109,173,49,478,490
66720,-1,1,67,89,41,344,250
44800,-10,20,348,35,7,447,43
18100,-3,0,225,73,37,320,480
64120,1,6,35,89,41,113,250
33500,-5,0,86,220,52,62,286
9410,90,72,161,35,50,320,226
9410,28,22,188,173,37,320,369
14120,0,5,110,66,9,32,324
15200,22,14,195,142,23,54,326
64710,1,0,91,79,7,320,350
19000,7,0,232,114,37,320,43
47300,-5,1,29,121,41,32,312
6610,-25,0,230,114,7,320,28
1100,-10,0,187,89,51,408,348
17900,3,0,44,140,38,43,369
34000,-3,0,86,220,52,283,62
30000,12,0,87,242,17,41,216
29120,9,0,200,89,37,320,141
28020,-20,2,290,89,37,447,326
13700,65,0,231,89,22,43,326
216800,0,0,225,192,49,478,326
37000,-2,0,151,89,17,62,203
5900,-61,0,185,111,28,213,316
17500,2,0,231,111,47,43,326
73700,8,6,90,89,7,393,330
15000,1,1,173,173,9,49,43
210900,0,0,226,145,37,320,480
71400,103,6,111,223,7,149,33
17200,5,0,40,173,10,478,24
65420,-2,1,94,89,41,279,350
38200,5,21,202,12,17,262,62
25900,1,0,32,89,37,320,85
14010,14,0,225,242,10,478,326
33400,28,0,86,220,52,283,62
9920,11,4,234,105,41,344,20
16800,2,0,40,142,23,478,24
225200,-3,10,231,139,7,320,28
17410,1,0,225,116,23,478,326
37100,26,9,151,242,17,203,62
215100,4,0,127,4,9,441,350
9410,28,33,231,76,37,320,43
82200,-14,0,206,89,47,154,328
16200,33,16,126,89,7,320,314
18300,-1,1,134,181,34,344,480
17610,1,3,115,35,37,488,326
17110,17,15,252,79,43,226,350
17000,-5,0,225,35,44,478,326
28020,-10,2,250,242,37,382,326
215100,-1,0,225,81,37,320,480
6610,-12,2,432,181,23,54,43
13000,3,1,185,79,23,24,326
2200,185,73,582,89,47,259,443
14110,-1,3,226,180,37,320,480
76500,12,5,191,216,7,334,404
1400,88,0,1377,12,7,239,412
65620,1,1,79,89,41,281,350
7500,10,0,84,89,30,372,174
50400,30,0,187,89,22,342,412
8210,24,5,84,89,34,344,324
64820,-2,0,195,89,41,183,326
64320,-6,1,104,89,41,344,183
5210,36,-13,855,128,12,410,254
18200,-5,1,185,35,23,24,326
71300,12,1,283,221,49,33,298
5210,-11,-2,855,82,37,410,254
16600,-3,0,225,66,10,478,326
16300,79,83,87,142,7,308,135
17120,8,16,308,173,49,344,263
4900,0,0,89,12,37,320,377
19510,14,8,184,26,37,320,24
2200,68,0,284,89,47,398,154
17700,-6,0,157,77,22,43,312
17620,7,4,112,120,49,91,480
50310,24,2,176,89,40,463,348
216600,3,5,185,4,37,24,326
2700,-4,0,195,112,17,283,259
9100,113,120,148,242,13,399,214
8610,15,5,110,89,26,478,490
64810,0,5,91,181,41,344,326
31100,24,0,283,89,27,440,222
13700,15,0,231,79,22,43,326
9200,73,85,142,89,12,502,214
18200,-5,2,185,35,23,24,326
71000,-3,0,41,223,7,414,462
50820,115,125,164,89,51,418,332
225200,9,0,134,174,41,478,350
5630,7,2,260,89,50,320,507
13700,1,5,125,12,37,310,326
17410,0,0,78,105,41,344,135
5800,100,0,926,89,21,312,62
9100,232,70,635,35,30,372,337
217000,108,90,220,192,22,320,390
6410,-10,2,115,35,37,207,326
8030,-13,0,387,89,30,174,480
1900,238,38,518,35,34,21,316
18300,2,0,225,105,25,320,480
2100,159,42,681,35,47,433,261
15000,62,45,246,89,37,320,43
23600,13,0,141,12,50,6,326
9200,55,42,306,242,30,372,480
38000,6,2,202,35,47,262,62
7910,6,1,135,79,7,344,480
17110,11,0,311,116,22,386,350
8010,-6,6,91,105,23,344,326
17110,14,7,212,79,40,364,279
9000,112,28,338,35,30,438,24
54100,26,0,77,217,10,393,378
17800,-4,0,91,121,41,344,326
15710,3,0,91,12,34,320,350
12600,14,5,91,66,37,344,326
14710,3,0,185,242,37,320,24
17500,22,5,125,111,9,310,326
14710,1,8,75,121,9,308,326
2100,-14,18,289,89,5,18,95
14310,-2,3,185,242,23,320,24
9310,2,0,230,173,22,28,326
9520,19,14,223,123,36,478,308
17610,3,18,233,66,37,320,28
23300,-3,0,141,112,37,320,6
31910,-2,0,257,12,17,62,9
71400,-12,10,234,223,22,414,33
52500,5,0,77,217,7,393,378
9410,-8,0,156,172,13,308,43
12520,9,11,314,180,34,319,20
9910,-19,0,188,105,22,364,326
18300,-1,1,134,103,41,344,480
101100,-18,4,464,216,8,324,239
6720,-1,0,615,121,49,28,481
69600,20,0,0,235,24,46,42
58100,-3,4,57,216,7,429,212
15400,6,0,225,35,47,478,326
17620,0,6,283,89,9,261,490
17610,-6,0,225,89,10,478,326
39300,-9,4,104,89,17,200,63
17500,31,44,216,89,37,319,480
65320,0,0,99,89,41,320,17
9200,22,35,306,35,30,372,480
17200,10,1,78,241,41,344,135
71000,-1,0,93,223,7,285,149
64210,4,1,91,173,37,344,326
64110,-2,0,91,181,7,320,350
39000,-4,7,201,89,17,122,62
35100,26,14,273,35,25,101,62
9200,34,0,1009,35,12,214,324
17900,16,22,74,142,37,308,326
35300,-15,0,296,242,25,461,62
18400,1,0,0,89,43,24,369
9610,12,13,103,105,34,319,312
28410,49,44,141,242,37,6,326
79600,-2,0,26,216,7,239,155
74600,-9,6,35,217,7,142,397
7930,57,0,695,89,37,319,73
5900,20,0,644,89,17,62,181
225700,11,5,279,60,37,364,350
17500,1,0,123,121,9,28,338
700,-10,0,329,112,51,434,412
16700,-3,0,124,114,22,43,338
14110,12,4,245,35,7,318,480
2200,77,78,159,112,47,457,95
78400,3,0,46,216,7,239,212
6520,-10,1,322,242,34,344,318
177400,-2,0,9,216,7,470,342
5800,28,40,391,89,26,275,63
6610,-13,0,232,142,37,320,43
77700,0,1,95,216,7,325,15
2100,227,214,35,89,47,449,23
300,-26,0,565,112,7,143,239
18100,-7,0,40,243,23,24,480
18000,-1,3,91,105,41,344,326
9410,20,15,304,35,22,488,369
215200,-4,0,326,192,41,344,28
5310,-47,-20,855,234,41,252,414
50700,24,3,187,89,51,408,348
215100,-3,2,220,174,22,386,326
8500,12,0,0,89,22,43,326
23900,-4,0,141,112,37,320,6
4800,2,0,290,89,37,447,326
4310,2,0,91,12,37,320,350
78500,2,4,58,216,7,471,472
225600,6,0,225,139,37,478,326
215800,-1,0,30,147,10,478,54
23700,4,3,114,121,37,320,207
23600,3,0,141,89,37,6,326
36500,74,21,208,242,25,251,62
35000,10,3,243,89,25,62,16
2000,100,0,1250,89,28,188,324
25300,-6,0,141,12,13,320,6
76500,16,1,203,216,7,325,472
30600,2,1,247,35,27,440,216
53100,5,1,85,217,7,393,128
17410,-11,0,232,105,37,320,43
2200,12,0,284,89,27,440,62
14900,28,17,226,89,10,320,480
212200,-4,0,185,178,37,320,24
216800,26,22,198,60,22,319,369
65110,4,0,91,173,37,320,350
17900,7,0,231,242,22,43,326
82100,10,0,206,89,39,322,154
9200,65,48,285,242,44,214,69
13700,5,10,226,89,37,320,480
17200,-6,5,231,114,37,320,28
35500,-21,9,160,89,25,50,62
9700,1,0,134,89,12,344,480
17300,-4,2,226,66,14,320,480
50510,2,9,112,89,51,326,348
17410,33,1,300,79,9,478,312
30300,12,8,87,89,17,216,41
800,41,0,158,242,51,408,485
13900,-3,9,187,2,22,364,326
52400,-8,1,57,217,7,295,397
8030,6,0,694,35,34,73,324
178500,5,11,0,218,7,429,340
9320,74,92,202,181,49,478,308
64820,1,0,104,89,41,183,350
19300,8,0,116,89,11,320,490
56200,-1,0,42,216,7,334,399
53100,-12,1,0,217,7,393,416
16700,18,17,196,35,37,320,54
31300,-11,0,283,89,7,440,222
30400,0,0,284,89,17,440,62
2000,-26,1,634,242,13,21,480
54100,6,2,76,217,7,97,330
74300,3,0,103,217,7,393,186
17200,1,0,323,79,34,344,43
15000,-4,3,96,89,47,298,43
177000,10,14,0,216,7,334,331
8020,135,175,234,142,34,12,326
16410,0,0,135,181,10,478,350
35500,-18,0,304,89,17,350,62
33700,-1,0,86,220,52,62,286
23800,-11,0,141,242,37,6,326
12900,11,0,185,181,37,320,24
68100,27,28,20,238,37,482,335
5210,556,143,855,82,50,410,254
9200,-2,0,99,89,12,456,337
31820,-8,0,283,89,27,222,443
68700,-2,0,51,235,33,42,136
500,-11,1,803,121,48,417,298
5210,-26,-6,855,82,37,410,254
600,17,1,151,89,7,393,384
168900,-1,8,141,238,24,42,46
17300,20,26,157,142,22,43,312
2000,-5,0,859,89,37,21,326
71000,31,39,106,249,7,128,288
17200,26,9,220,12,37,320,390
35500,2,8,243,89,25,16,62
9410,16,5,126,181,37,320,314
38000,14,4,189,89,13,262,234
215200,8,3,135,102,3,478,350
17410,-5,0,225,242,10,478,326
39000,-3,0,310,35,27,60,62
34100,3,0,86,220,26,62,286
35300,20,9,281,242,25,102,62
19510,0,7,225,89,37,320,480
1900,-2,0,512,35,30,320,174
39000,-5,26,174,121,17,264,62
5800,10,57,520,89,25,275,62
17410,-1,2,157,173,9,308,43
28310,2,0,115,35,37,320,207
44800,-1,0,199,89,37,6,43
23600,3,0,141,89,22,6,326
215900,16,0,323,42,37,43,350
30200,-14,0,284,89,27,440,62
178500,-5,3,0,216,7,325,340
9200,338,335,306,89,30,372,480
4900,53,28,528,89,37,52,62
17110,20,18,75,89,7,308,326
56400,2,0,87,216,10,239,340
35100,30,5,273,35,25,101,62
2000,-13,0,376,89,44,73,480
6410,-1,0,127,89,37,6,514
59100,3,1,80,216,7,325,212
216700,8,8,44,139,33,43,369
77400,-2,17,83,218,7,74,155
60010,-6,1,91,105,7,344,326
8030,52,0,613,35,44,73,350
66120,2,0,118,125,41,320,137
50510,-8,2,148,242,51,448,348
5310,52,-15,855,82,10,252,414
5900,-61,0,185,89,28,213,316
500,-32,3,1315,20,28,100,397
8900,-3,3,100,173,49,12,395
4800,11,3,589,112,17,62,385
17420,31,30,101,105,49,391,12
64000,-1,0,99,89,37,17,326
65020,5,0,67,35,41,249,350
30300,19,0,284,35,17,62,443
2200,75,138,677,89,5,296,62
56200,-9,0,83,216,7,212,399
400,258,235,880,89,8,235,347
18400,-1,8,0,105,37,320,390
2000,29,37,849,89,13,21,324
18610,-4,1,226,35,49,478,326
9700,64,79,212,89,37,227,103
16300,2,3,219,142,22,386,326
17110,5,0,231,66,22,43,326
71800,19,19,18,221,7,295,2
42200,-20,100,826,112,17,259,216
44800,4,0,119,242,10,407,436
8720,7,1,109,105,49,478,395
19000,4,0,126,89,37,320,314
17700,-7,0,124,35,22,43,338
17800,6,27,216,12,37,302,326
2000,-5,17,1023,89,37,35,326
30600,-10,0,284,12,17,440,62
100,112,95,416,121,6,290,239
33600,23,0,86,220,52,283,62
15120,-5,0,112,142,7,478,91
1900,135,0,859,12,13,320,21
31300,-1,0,51,89,27,440,478
17410,16,10,134,142,49,478,350
9100,-15,13,243,12,12,456,202
72400,-1,3,95,217,7,321,397
14110,3,7,245,0,37,318,480
17000,4,0,75,246,9,320,312
7700,8,0,146,89,30,372,221
5800,-12,0,406,35,46,312,278
18000,6,0,91,105,41,344,326
8210,1,2,203,181,7,320,369
17120,-2,0,234,35,49,320,12
9800,55,15,257,35,51,107,403
65610,-4,1,91,173,37,344,326
13000,3,2,185,79,23,24,326
50010,6,2,177,118,51,469,412
5610,-1,1,126,89,9,344,444
67020,5,4,67,89,39,249,350
15110,-4,0,185,89,37,320,24
34200,-7,0,86,220,52,283,62
31810,129,118,124,242,17,41,62
71200,-12,3,265,223,7,2,33
7930,38,27,72,89,30,94,174
700,-51,0,329,12,6,434,412
9310,-3,6,135,181,9,298,326
28320,-12,0,285,89,37,320,449
17500,6,0,231,111,22,43,326
50700,19,0,137,242,51,408,224
28020,-5,13,237,112,37,467,326
4220,-5,0,67,35,41,249,350
77400,-2,0,10,216,7,422,212
9310,-3,5,108,89,9,332,326
67110,-7,0,91,66,30,320,350
78500,0,0,196,218,7,395,342
9310,-3,0,175,79,24,319,24
71600,9,0,133,223,7,374,270
2700,1,0,1840,229,26,291,348
28120,22,0,370,89,37,320,385
15730,28,0,448,142,37,320,308
9320,-17,0,193,173,49,12,308
65320,-4,4,104,89,10,344,183
8420,31,0,335,105,29,391,326
5410,51,57,91,66,41,344,326
12300,16,0,225,76,37,320,480
