train_nbr,ariv_delay,dept_delay,mileage,fare_plan_cds,states_cd,orig_stns,dest_stns
215100,-8,0,75,139,9,308,326
215900,-5,6,220,30,37,386,326
50810,17,13,187,242,51,342,412
35200,10,0,273,89,3,62,101
216500,1,2,225,192,37,320,480
6410,10,11,100,242,37,207,514
68700,26,1,34,238,22,42,194
13700,11,0,107,77,46,332,326
17200,14,7,188,12,22,320,369
4310,2,0,91,173,7,320,350
50700,-7,9,50,89,51,224,348
15730,-2,10,82,89,49,140,367
18300,2,0,225,111,37,320,480
9510,18,27,105,172,23,344,54
28320,5,0,285,12,37,320,449
8610,79,63,227,66,37,478,326
28410,14,12,114,112,22,207,326
156400,-11,0,103,218,7,155,399
225000,-8,0,231,192,22,320,28
30500,23,0,257,35,17,62,9
47500,-4,0,63,74,37,432,312
9410,16,15,51,173,22,308,314
8710,-1,1,135,242,41,344,480
17410,4,0,231,66,7,320,28
61200,4,1,104,89,12,183,350
50010,2,13,75,242,51,326,412
44900,-3,0,347,89,22,28,449
5510,-1,0,90,242,37,320,350
66320,-1,0,185,89,37,320,282
9310,-3,0,231,103,22,43,326
18200,3,0,158,26,23,302,460
78400,33,15,68,216,7,424,331
9320,27,12,88,105,23,302,20
15710,18,12,95,173,11,344,24
500,-29,7,538,112,15,327,100
77400,3,6,68,216,7,424,331
2700,53,95,257,89,29,485,438
4230,-1,0,386,242,34,343,460
17200,4,4,71,172,51,135,49
19510,14,15,41,74,23,24,480
15620,17,0,114,142,49,379,91
37100,13,3,151,89,25,203,62
5210,22,23,855,234,13,410,254
9800,2,4,244,12,30,152,337
217000,62,14,232,145,37,320,43
14900,-3,0,231,79,22,43,326
9620,-3,1,253,89,41,390,350
39300,30,0,129,35,17,62,63
71100,10,0,310,249,7,33,128
15200,-5,1,91,35,41,344,326
15400,-1,0,30,243,41,478,54
9800,42,68,459,35,41,139,350
19600,-4,1,91,105,37,344,326
8520,2,0,247,35,37,320,482
9310,20,0,219,12,34,226,460
17300,0,0,226,35,37,320,480
5800,60,15,496,112,46,275,200
71600,-2,0,146,222,7,324,270
17120,14,20,114,89,49,91,383
216400,-5,0,0,192,22,308,28
23800,-9,5,113,35,23,207,326
66620,3,1,19,89,41,338,350
1400,,86,881,112,7,295,412
56400,7,1,36,216,7,239,426
64620,8,12,110,89,41,338,326
215900,0,2,445,170,22,386,480
30100,-5,0,284,112,17,62,443
9310,43,25,168,39,37,458,480
224900,21,3,232,179,22,43,326
13700,3,10,94,89,23,344,24
225300,26,3,231,147,22,28,326
39000,-12,13,130,242,17,63,62
9520,32,0,448,242,37,320,308
